,Gene,Upstream,Downstream
428,hitP1_Mod.2,mal,mal
429,hitP2_Mod.1,mal,mal
430,hitP2_Mod.2,mal,mal
435,hitP3_Mod.1,mal,mal
432,hitP4_Mod.1,mal,mal
433,hitP4_Mod.2,mal,mmal
434,hitP4_Mod.3,mmal,mal
431,hitP5_Mod.1,mal,mal
384,hlsA_Mod.1,NA,mmal
385,hlsA_Mod.2,mmal,mmal
386,hlsA_Mod.3,mmal,mal
387,hlsB_Mod.1,mal,mal
388,hlsB_Mod.2,mal,mmal
389,hlsB_Mod.3,mmal,mmal
390,hlsB_Mod.4,mmal,mal
391,hlsC_Mod.1,mal,mmal
392,hlsC_Mod.2,mmal,mal
393,hlsC_Mod.3,mal,mal
394,hlsD_Mod.1,mal,mmal
395,hlsD_Mod.2,mmal,mal
396,hlsD_Mod.3,mal,mal
397,hlsE_Mod.1,mal,mmal
398,hlsE_Mod.2,mmal,mal
399,hlsF_Mod.1,mal,mmal
400,hlsF_Mod.2,mmal,mmal
401,hlsF_Mod.3,mmal,mal
402,hlsG_Mod.1,mal,mmal
454,idmL_Mod.1,NA,mal
455,idmL_Mod.2,mal,mal
456,idmL_Mod.3,mal,NA
457,idmM_Mod.1,NA,mal
458,idmM_Mod.2,mal,mal
459,idmN_Mod.1,mal,mal
460,idmN_Mod.2,mal,NA
461,idmN_Mod.3,NA,mmal
462,idmO_Mod.1,mmal,mal
463,idmP_Mod.1,mal,mmal
445,idnP1_Mod.1,mmal,mmal
446,idnP1_Mod.2,mmal,mal
447,idnP2_Mod.1,mal,mmal
448,idnP2_Mod.2,mmal,mal
449,idnP2_Mod.3,mal,mal
450,idnP3_Mod.1,mal,mal
451,idnP3_Mod.2,mal,mal
444,idnP4_Mod.1,NA,mmal
452,idnP5_Mod.1,mal,mmal
453,idnP5_Mod.2,mmal,NA
1170,jerA_Mod.0,NA,mmal
1171,jerB_Mod.1,mmal,mmal
1172,jerB_Mod.2,mmal,mal
1173,jerC_Mod.3,mal,mmal
1174,jerC_Mod.4,mmal,mal
1175,jerD_Mod.5,mal,mal
1176,jerE_Mod.6,mal,mal
1177,jerE_Mod.7,mal,mal
467,ken12_Mod.1,mal,mmal
468,ken12_Mod.2,mmal,mmal
469,ken13_Mod.1,mmal,mmal
470,ken14_Mod.1,mmal,mmal
471,ken14_Mod.2,mmal,mal
464,ken16_Mod.1,NA,mmal
465,ken16_Mod.2,mmal,mmal
466,ken16_Mod.3,mmal,mal
472,kijA_Mod.0,NA,mal
473,kijA_Mod.1,mal,mmal
482,kijA_Mod.10,mmal,mmal
483,kijA_Mod.11,mmal,mal
474,kijA_Mod.2,mmal,mal
475,kijA_Mod.3,mal,mmal
476,kijA_Mod.4,mmal,mal
477,kijA_Mod.5,mal,mmal
478,kijA_Mod.6,mmal,mal
479,kijA_Mod.7,mal,mal
480,kijA_Mod.8,mal,mmal
481,kijA_Mod.9,mmal,mmal
484,ladSI_Mod.1,NA,mal
485,ladSI_Mod.2,mal,mmal
486,ladSII_Mod.1,mmal,mmal
487,ladSIII_Mod.1,mmal,mal
488,ladSIII_Mod.2,mal,mmal
489,ladSIV_Mod.1,mmal,mmal
490,ladSIV_Mod.2,mmal,mal
491,ladSV_Mod.1,mal,mmal
492,ladSV_Mod.2,mmal,mal
493,ladSVI_Mod.1,mal,mal
494,ladSVII_Mod.1,mal,mmal
495,ladSVIII_Mod.1,mmal,mmal
496,ladSVIII_Mod.2,mmal,mmal
504,lasAI_Mod.1,NA,mal
505,lasAI_Mod.2,mal,NA
506,lasAI_Mod.3,NA,mal
507,lasAII_Mod.1,mal,NA
508,lasAII_Mod.2,NA,mmal
509,lasAII_Mod.3,mmal,NA
510,lasAIII_Mod.1,NA,mmal
511,lasAIV_Mod.1,mmal,mmal
512,lasAV_Mod.1,mmal,mal
513,lasAV_Mod.2,mal,mal
514,lasAVI_Mod.1,mal,mmal
515,lasAVII_Mod.1,mmal,mal
252,leoA_Mod.0,NA,mal
253,leoA_Mod.1,mal,mmal
254,leoA_Mod.2,mmal,mmal
255,leoB_Mod.3,mmal,mal
256,leoB_Mod.4,mal,mmal
257,leoC_Mod.5,mmal,mal
258,leoD_Mod.6,mal,mal
259,leoD_Mod.7,mal,mmal
260,leoE_Mod.8,mmal,mmal
516,lipPks1_Mod.0,NA,NA
517,lipPks1_Mod.1,NA,mmal
518,lipPks2_Mod.1,mmal,mmal
519,lipPks2_Mod.2,mmal,mal
520,lipPks3_Mod.1,mal,mal
521,lipPks3_Mod.2,mal,mal
522,lipPks4_Mod.1,mal,mal
523,lipPks4_Mod.2,mal,mal
497,lkmAI_Mod.0,NA,NA
498,lkmAI_Mod.1,NA,mmal
499,lkmAI_Mod.2,mmal,mmal
500,lkmAII_Mod.1,mmal,mmal
501,lkmAII_Mod.2,mmal,mmal
502,lkmAIII_Mod.1,mmal,mmal
503,lkmAIII_Mod.2,mmal,mmal
534,lobA1_Mod.1,mal,mmal
535,lobA1_Mod.2,mmal,mmal
533,lobA2_Mod.1,mmal,mal
532,lobA3_Mod.1,mal,mmal
528,lobA4_Mod.1,mmal,mal
529,lobA4_Mod.2,mal,mmal
530,lobA4_Mod.3,mmal,mal
531,lobA4_Mod.4,mal,mal
524,lobA5_Mod.1,NA,mal
525,lobA5_Mod.2,mal,mmal
526,lobA5_Mod.3,mmal,mal
527,lobA5_Mod.4,mal,mmal
536,lydA_Mod.1,NA,mal
537,lydB_Mod.2,mal,mmal
538,lydB_Mod.3,mmal,mal
539,lydC_Mod.4,mal,mal
540,lydC_Mod.5,mal,mmal
541,lydC_Mod.6,mmal,mal
542,lydC_Mod.7,mal,mal
543,lydD_Mod.8,mal,mmal
544,lydD_Mod.9,mmal,mmal
545,lydE_Mod.10,mmal,mal
546,lydF_Mod.11,mal,mmal
547,lydF_Mod.12,mmal,mal
548,lydF_Mod.13,mal,mmal
549,lydG_Mod.14,mmal,mal
550,lydG_Mod.15,mal,mmal
551,lydH_Mod.16,mmal,mal
552,lydH_Mod.17,mal,NA
561,mbcAI_Mod.1,NA,mmal
562,mbcAI_Mod.2,mmal,NA
563,mbcAI_Mod.3,NA,mmal
564,mbcAII_Mod.1,mmal,mmal
565,mbcAII_Mod.2,mmal,mmal
566,mbcAIII_Mod.1,mmal,mal
567,mbcAIII_Mod.2,mal,mmal
595,megAI_Mod.0,NA,NA
596,megAI_Mod.1,NA,mmal
597,megAI_Mod.2,mmal,mmal
598,megAII_Mod.1,mmal,mmal
599,megAII_Mod.2,mmal,mmal
600,megAIII_Mod.1,mmal,mmal
601,megAIII_Mod.2,mmal,mmal
602,meiA1_Mod.0,NA,NA
603,meiA1_Mod.1,NA,mmal
604,meiA1_Mod.2,mmal,mal
605,meiA2_Mod.1,mal,mal
606,meiA2_Mod.2,mal,mal
607,meiA2_Mod.3,mal,mal
608,meiA2_Mod.4,mal,mmal
609,meiA3_Mod.1,mmal,mmal
610,meiA3_Mod.2,mmal,mal
611,meiA3_Mod.3,mal,mmal
612,meiA4_Mod.1,mmal,mal
613,meiA4_Mod.2,mal,mmal
614,meiA4_Mod.3,mmal,mal
615,merA_Mod.1,NA,mal
616,merA_Mod.2,mal,mmal
617,merA_Mod.3,mmal,mmal
618,merA_Mod.4,mmal,mal
619,merB_Mod.1,mal,NA
620,merB_Mod.2,NA,mmal
621,merB_Mod.3,mmal,mmal
622,merB_Mod.4,mmal,mmal
623,merC_Mod.1,mmal,mal
624,merC_Mod.2,mal,mal
625,merC_Mod.3,mal,mmal
626,merC_Mod.4,mmal,mal
627,merC_Mod.5,mal,mal
628,merC_Mod.6,mal,mmal
629,merC_Mod.7,mmal,mal
553,mlaB_Mod.1,NA,mal
554,mlaB_Mod.2,mal,mmal
555,mlaD_Mod.1,mmal,mal
556,mlaD_Mod.2,mal,mal
557,mlaE_Mod.1,mal,mal
558,mlaF_Mod.1,mal,mmal
559,mlaF_Mod.2,mmal,mal
560,mlaG_Mod.1,mal,mal
658,mlsA1_Mod.1,NA,mal
659,mlsA1_Mod.2,mal,mal
660,mlsA1_Mod.3,mal,mmal
661,mlsA1_Mod.4,mmal,mmal
662,mlsA1_Mod.5,mmal,mmal
663,mlsA1_Mod.6,mmal,mal
664,mlsA1_Mod.7,mal,mmal
665,mlsA1_Mod.8,mmal,mmal
666,mlsA1_Mod.9,mmal,mal
667,mlsA2_Mod.1,mal,mal
637,monAI_Mod.1,NA,mal
638,monAI_Mod.2,mal,mmal
639,monAII_Mod.1,mmal,mmal
640,monAIII_Mod.1,mmal,mal
641,monAIII_Mod.2,mal,mmal
642,monAIV_Mod.1,mmal,NA
643,monAIV_Mod.2,NA,mal
644,monAV_Mod.1,mal,mmal
645,monAV_Mod.2,mmal,mal
646,monAVI_Mod.1,mal,mal
647,monAVII_Mod.1,mal,mmal
648,monAVIII_Mod.1,mmal,mmal
649,monAVIII_Mod.2,mmal,mmal
650,mycAI_Mod.1,NA,mmal
651,mycAI_Mod.2,mmal,mmal
652,mycAI_Mod.3,mmal,mal
653,mycAII_Mod.1,mal,mal
654,mycAIII_Mod.1,mal,mmal
655,mycAIII_Mod.2,mmal,mmal
656,mycAIV_Mod.1,mmal,mmal
657,mycAV_Mod.1,mmal,mal
668,nanA1_Mod.1,NA,mal
669,nanA1_Mod.2,mal,mmal
670,nanA2_Mod.1,mmal,mmal
671,nanA3_Mod.1,mmal,mal
672,nanA3_Mod.2,mal,mmal
673,nanA4_Mod.1,mmal,mmal
674,nanA4_Mod.2,mmal,mal
675,nanA5_Mod.1,mal,mmal
676,nanA5_Mod.2,mmal,mal
677,nanA6_Mod.1,mal,mal
678,nanA7_Mod.1,mal,mmal
679,nanA8_Mod.1,mmal,mmal
680,nanA8_Mod.2,mmal,mmal
681,natA_Mod.1,NA,mmal
682,natA_Mod.2,mmal,mal
683,natA_Mod.3,mal,mmal
684,natB_Mod.1,mmal,mmal
685,natB_Mod.2,mmal,mmal
686,natB_Mod.3,mmal,mal
687,natC_Mod.1,mal,mal
688,natC_Mod.2,mal,mmal
689,natC_Mod.3,mmal,mal
690,natD_Mod.1,mal,mmal
691,natD_Mod.2,mmal,mal
692,natE_Mod.1,mal,mal
693,natE_Mod.2,mal,mmal
132,nbrG_Mod.1,mal,mal
133,nbrG_Mod.2,mal,mal
134,nbrG_Mod.3,mal,mal
135,nbrG_Mod.4,mal,mmal
136,nbrG_Mod.5,mmal,mal
137,nbrH_Mod.1,mal,mal
138,nbrH_Mod.2,mal,mmal
139,nbrH_Mod.3,mmal,mal
140,nbrH_Mod.4,mal,mal
128,nbrI_Mod.1,mal,mal
129,nbrI_Mod.2,mal,mal
130,nbrJ_Mod.1,mal,mal
131,nbrJ_Mod.2,mal,mal
123,nbrK_Mod.2,NA,mmal
124,nbrK_Mod.3,mmal,mmal
125,nbrL_Mod.1,mmal,mmal
126,nbrL_Mod.2,mmal,mmal
127,nbrL_Mod.3,mmal,mal
779,ncdA_Mod.0,NA,mmal
780,ncdA_Mod.1,mmal,mal
781,ncdA_Mod.2,mal,mmal
782,ncdA_Mod.3,mmal,mmal
783,ncdB_Mod.4,mmal,mal
784,ncdB_Mod.5,mal,mal
785,ncdB_Mod.6,mal,mal
786,ncdC_Mod.7,mal,mmal
787,ncdC_Mod.8,mmal,mmal
788,ncdC_Mod.9,mmal,mal
789,ncdD_Mod.10,mal,mal
770,NcmAI_Mod.0,NA,mal
771,NcmAI_Mod.1,mal,mmal
772,NcmAI_Mod.2,mmal,mmal
773,NcmAI_Mod.3,mmal,mal
774,NcmAII_Mod.4,mal,mmal
775,NcmAIII_Mod.5,mmal,mmal
776,NcmAIV_Mod.6,mmal,mmal
777,NcmAV_Mod.7,mmal,mal
778,NcmAV_Mod.8,mal,mal
733,nemA1-1_Mod.0,NA,NA
734,nemA1-1_Mod.1,NA,mmal
735,nemA1-2_Mod.1,mmal,mmal
736,nemA1-2_Mod.2,mmal,mal
737,nemA2_Mod.1,mal,mal
738,nemA2_Mod.2,mal,mal
739,nemA2_Mod.3,mal,mal
740,nemA2_Mod.4,mal,mmal
741,nemA3_Mod.1,mmal,mmal
742,nemA3_Mod.2,mmal,mal
743,nemA3_Mod.3,mal,mmal
744,nemA4_Mod.1,mmal,mal
746,nemA4_Mod.2,mal,mmal
745,nemA4_Mod.3,mal,mal
747,nidA1_Mod.1,NA,mal
748,nidA1_Mod.2,mal,mal
749,nidA1_Mod.3,mal,mal
750,nidA2_Mod.1,mal,mal
751,nidA3_Mod.1,mal,mmal
752,nidA3_Mod.2,mmal,NA
753,nidA4_Mod.1,NA,NA
754,nidA5_Mod.1,NA,mal
756,NigAI_Mod.1,mmal,mal
757,NigAI_Mod.2,mal,mmal
758,NigAII_Mod.1,mmal,mmal
759,NigAIII_Mod.1,mmal,mal
760,NigAIII_Mod.2,mal,mmal
761,NigAIV_Mod.1,mmal,mmal
762,NigAIV_Mod.2,mmal,mal
763,NigAIX_Mod.1,mal,mmal
764,NigAV_Mod.1,mmal,mmal
765,NigAV_Mod.2,mmal,mmal
766,NigAVI_Mod.1,mmal,mmal
767,NigAVII_Mod.1,mmal,mal
768,NigAVII_Mod.2,mal,mal
769,NigAVII_Mod.3,mal,mal
755,NIGAVIII_Mod.1,NA,mmal
989,norA__Mod.1,mmal,mmal
990,norA__Mod.2,mmal,mmal
988,norA_Mod.1,NA,mmal
991,norB_Mod.1,mmal,mal
992,norC_Mod.1,mal,mmal
993,norC_Mod.2,mmal,mmal
790,nosB_Mod.1,NA,mal
1196,npmA_Mod.18,mal,mal
1178,npmB_Mod.0,NA,mal
1179,npmB_Mod.1,mal,mal
1180,npmC_Mod.2,mal,mmal
1181,npmC_Mod.3,mmal,mal
1182,npmD_Mod.4,mal,mal
1183,npmD_Mod.5,mal,mal
1184,npmE_Mod.6,mal,mal
1185,npmE_Mod.7,mal,mal
1186,npmE_Mod.8,mal,mal
1188,npmF_Mod.10,mal,mal
1189,npmF_Mod.11,mal,mal
1190,npmF_Mod.12,mal,mal
1191,npmF_Mod.13,mal,mal
1187,npmF_Mod.9,mal,mal
1192,npmG_Mod.14,mal,mal
1193,npmG_Mod.15,mal,mal
1194,npmH_Mod.16,mal,mal
1195,npmH_Mod.17,mal,mal
1197,npmI_Mod.19,mal,mal
791,nysA_Mod.1,NA,mal
792,nysB_Mod.1,mal,mmal
793,nysB_Mod.2,mmal,mmal
794,nysC_Mod.1,mmal,mal
795,nysC_Mod.2,mal,mal
796,nysC_Mod.3,mal,mal
797,nysC_Mod.4,mal,mal
798,nysC_Mod.5,mal,mal
799,nysC_Mod.6,mal,mal
800,nysI_Mod.1,mal,mal
801,nysI_Mod.2,mal,mal
802,nysI_Mod.3,mal,mmal
803,nysI_Mod.4,mmal,mal
804,nysI_Mod.5,mal,mal
805,nysI_Mod.6,mal,mal
806,nysJ_Mod.1,mal,mal
807,nysJ_Mod.2,mal,mal
808,nysJ_Mod.3,mal,mal
809,nysK_Mod.1,mal,mal
829,olmA1_Mod.0,mal,mal
830,olmA1_Mod.1,mal,mal
831,olmA1_Mod.2,mal,mmal
832,olmA1_Mod.3,mmal,mal
833,olmA2_Mod.4,mal,mmal
834,olmA2_Mod.5,mmal,mmal
835,olmA2_Mod.6,mmal,mal
836,olmA3_Mod.7,mal,NA
837,olmA3_Mod.8,NA,mal
839,olmA4_Mod.10,mal,mmal
838,olmA4_Mod.9,mal,mal
840,olmA5_Mod.11,mmal,mmal
841,olmA6_Mod.12,mmal,mmal
842,olmA6_Mod.13,mmal,mmal
843,olmA6_Mod.14,mmal,mmal
845,olmA7_Mod.15,mal,mmal
844,olmA7_Mod.16,mmal,mal
846,palA_Mod.1,NA,mmal
847,palB_Mod.2,mmal,mmal
848,palC_Mod.3,mmal,mmal
849,palD_Mod.4,mmal,mal
850,palE_Mod.5,mal,mal
851,palE_Mod.6,mal,mal
852,palE_Mod.7,mal,mmal
853,palF_Mod.8,mmal,mmal
854,phn2_Mod.1,NA,NA
855,phn2_Mod.2,NA,mal
856,phn2_Mod.3,mal,mal
857,phn2_Mod.4,mal,mal
866,PieA1_Mod.0,NA,mal
867,PieA1_Mod.1,mal,mmal
868,PieA2_Mod.1,mmal,mmal
869,PieA2_Mod.2,mmal,mmal
870,PieA3_Mod.1,mmal,mal
871,PieA4_Mod.1,mal,mmal
872,PieA5_Mod.1,mmal,mal
873,PieA6_Mod.1,mal,mmal
874,PieA6_Mod.2,mmal,mal
630,pikAI_Mod.1,NA,mmal
631,pikAI_Mod.2,mmal,mmal
632,pikAI_Mod.3,mmal,mal
633,pikAII_Mod.1,mal,mmal
634,pikAII_Mod.2,mmal,mmal
635,pikAIII_Mod.1,mmal,mmal
636,pikAIV_Mod.1,mmal,mmal
695,pimS0_Mod.1,mal,mal
698,pimS1_Mod.1,mal,mal
700,pimS1_Mod.2,mal,mal
703,pimS1_Mod.3,mal,mal
706,pimS1_Mod.4,mal,mal
709,pimS2_Mod.1,mal,mal
713,pimS2_Mod.2,mal,mal
716,pimS2_Mod.3,mmal,mmal
719,pimS2_Mod.4,mal,mal
722,pimS2_Mod.5,mal,mal
725,pimS2_Mod.6,mal,mal
730,pimS3_Mod.1,mal,mal
727,pimS4_Mod.1,mal,mal
875,pldAI_Mod.1,NA,mmal
876,pldAI_Mod.2,mmal,mmal
877,pldAI_Mod.3,mmal,mal
878,pldAI_Mod.4,mal,mmal
879,pldAII_Mod.1,mmal,mal
880,pldAII_Mod.2,mal,mmal
881,pldAII_Mod.3,mmal,mmal
882,pldAII_Mod.4,mmal,mal
883,pldAIII_Mod.1,mal,mmal
884,pldAIII_Mod.2,mmal,mal
885,pldAIV_Mod.1,mal,mal
858,plm1_Mod.0,NA,NA
859,plm1_Mod.1,NA,mal
860,plm2-3_Mod.1,mal,mal
861,plm2-3_Mod.2,mal,mal
862,plm4_Mod.1,mal,NA
863,plm5_Mod.1,NA,mal
864,plm6_Mod.1,mal,NA
865,plm7_Mod.1,NA,mal
337,pteA1_Mod.1,NA,mal
338,pteA1_Mod.2,mal,mal
339,pteA1_Mod.3,mal,mal
340,pteA1_Mod.4,mal,mal
341,pteA2_Mod.1,mal,mal
342,pteA2_Mod.2,mal,mmal
343,pteA3_Mod.1,mmal,mal
344,pteA4_Mod.1,mal,mal
345,pteA4_Mod.2,mal,mal
346,pteA4_Mod.3,mal,mal
347,pteA4_Mod.4,mal,mal
348,pteA5_Mod.1,mal,mal
349,pteA5_Mod.2,mal,NA
886,QmnA1_Mod.0,NA,mal
887,QmnA1_Mod.1,mal,mmal
888,QmnA1_Mod.2,mmal,mmal
889,QmnA1_Mod.3,mmal,mal
890,QmnA2_Mod.1,mal,mmal
891,QmnA3_Mod.1,mmal,mal
892,rapA_Mod.1,NA,mmal
893,rapA_Mod.2,mmal,mal
894,rapA_Mod.3,mal,mmal
895,rapA_Mod.4,mmal,mmal
896,rapB_Mod.1,mmal,mal
897,rapB_Mod.2,mal,mmal
898,rapB_Mod.3,mmal,mmal
899,rapB_Mod.4,mmal,mal
900,rapB_Mod.5,mal,mal
901,rapB_Mod.6,mal,mmal
902,rapC_Mod.1,mmal,mal
903,rapC_Mod.2,mal,mal
904,rapC_Mod.3,mal,mmal
905,rapC_Mod.4,mmal,mal
906,revA_Mod.1,NA,mmal
907,revA_Mod.2,mmal,mal
908,revA_Mod.3,mal,mmal
909,revA_Mod.4,mmal,mal
910,revB_Mod.1,mal,NA
911,revB_Mod.2,NA,mal
912,revB_Mod.3,mal,mal
913,revC_Mod.1,mal,mmal
914,revC_Mod.2,mmal,mal
915,revD_Mod.1,mal,mmal
916,revD_Mod.2,mmal,mal
917,revD_Mod.3,mal,mmal
918,revD_Mod.4,mmal,mal
919,rifA_Mod.1,NA,mmal
920,rifA_Mod.2,mmal,mal
921,rifA_Mod.3,mal,mmal
922,rifB_Mod.1,mmal,mmal
923,rifB_Mod.2,mmal,mmal
924,rifB_Mod.3,mmal,mmal
925,rifC_Mod.1,mmal,mmal
926,rifD_Mod.1,mmal,mmal
927,rifE_Mod.1,mmal,mal
928,rifE_Mod.2,mal,mmal
694,scnS0_Mod.1,NA,mal
697,scnS1_Mod.1,NA,mal
699,scnS1_Mod.2,mal,mal
702,scnS1_Mod.3,mal,mal
705,scnS1_Mod.4,mal,mal
708,scnS2_Mod.1,mal,mal
712,scnS2_Mod.2,mal,mal
715,scnS2_Mod.3,mal,mmal
718,scnS2_Mod.4,mmal,mal
721,scnS2_Mod.5,mal,mal
724,scnS2_Mod.6,mal,mal
729,scnS3_Mod.1,mal,mal
726,scnS4_Mod.1,mal,mal
199,SCO6273_Mod.1,mal,mal
198,SCO6274_Mod.1,mal,mal
200,SCO6274_Mod.2,mal,mal
195,SCO6275_Mod.1,NA,mal
196,SCO6275_Mod.2,mal,mal
197,SCO6275_Mod.3,mal,mal
